,time,latitude,longitude,depth,mag
0,2021-11-02T04:33:46.997Z,32.8876,136.892,433.36,4.2
1,2021-11-02T11:00:40.223Z,31.0448,141.9867,10.0,4.5
2,2021-11-02T15:00:11.748Z,36.0259,143.0997,10.0,4.6
3,2021-11-03T00:02:23.264Z,35.9514,143.0183,10.0,4.5
4,2021-11-03T02:35:56.019Z,37.0785,141.2569,45.96,4.6
5,2021-11-03T15:58:11.558Z,42.9402,145.8427,43.89,4.3
6,2021-11-05T04:55:56.390Z,33.7858,137.4955,341.34,4.9
7,2021-11-06T00:08:47.330Z,38.2553,140.7112,101.43,4.3
8,2021-11-06T19:40:59.298Z,36.007,139.8559,58.54,4.5
9,2021-11-07T05:11:24.805Z,32.1226,142.6028,10.0,4.4
10,2021-11-07T05:52:33.455Z,40.2269,144.9596,10.0,4.5
11,2021-11-07T12:44:30.631Z,40.2762,142.2673,59.3,4.4
12,2021-11-07T18:08:31.636Z,36.2065,140.044,59.37,4.4
13,2021-11-07T19:22:19.524Z,41.0724,141.9538,59.0,4.5
14,2021-11-08T16:15:01.611Z,37.0912,140.5069,35.96,4.7
15,2021-11-08T21:08:15.113Z,40.1846,142.8614,38.22,4.1
16,2021-11-10T13:08:57.911Z,40.2804,142.264,58.51,4.3
17,2021-11-11T03:21:27.905Z,36.3835,141.2171,31.83,4.5
18,2021-11-11T22:06:48.941Z,33.8976,141.8049,10.0,4.5
19,2021-11-12T02:13:51.906Z,35.6466,140.1614,70.98,4.5
20,2021-11-13T01:06:32.236Z,37.9865,140.9072,121.26,4.2
21,2021-11-13T02:59:38.472Z,34.9153,139.8636,35.53,4.4
22,2021-11-13T04:45:06.661Z,31.2283,130.373,151.46,4.9
23,2021-11-13T11:17:01.458Z,34.1059,140.4512,84.71,4.4
24,2021-11-14T13:08:47.690Z,41.6233,141.5305,89.23,4.6
25,2021-11-14T15:04:52.504Z,36.779,142.9005,10.0,4.4
26,2021-11-14T23:19:06.922Z,43.2078,141.7099,169.97,4.1
27,2021-11-16T17:54:44.411Z,35.4303,139.1719,10.0,4.4
28,2021-11-16T22:46:32.691Z,37.6149,141.7635,48.07,4.2
29,2021-11-17T06:24:41.223Z,36.9207,141.4113,38.63,4.5
30,2021-11-17T23:46:09.677Z,44.2496,148.0549,70.5,4.2
31,2021-11-19T19:12:04.191Z,44.4684,148.0816,104.37,4.1
32,2021-11-19T20:07:00.307Z,38.2196,142.3149,23.77,4.3
33,2021-11-19T23:57:23.470Z,35.7987,139.5146,109.49,4.6
34,2021-11-20T19:07:41.651Z,43.7075,147.7301,34.82,4.7
35,2021-11-22T19:09:59.721Z,42.2291,143.2148,65.67,4.3
36,2021-11-22T19:37:38.917Z,45.0241,147.117,10.0,4.3
37,2021-11-22T23:49:03.500Z,38.886,145.2239,10.0,4.4
38,2021-11-23T09:48:42.439Z,38.8975,142.217,50.53,4.8
39,2021-11-24T05:44:44.466Z,36.3957,141.685,35.0,4.6
40,2021-11-24T08:06:36.210Z,39.4207,141.9048,60.17,4.8
41,2021-11-24T10:28:25.549Z,36.5173,141.7366,38.16,4.4
42,2021-11-24T11:34:20.762Z,36.2755,142.1297,27.23,4.2
43,2021-11-24T18:51:29.897Z,36.185,141.8713,29.28,4.2
44,2021-11-26T02:31:33.162Z,36.8314,142.8347,22.65,4.3
45,2021-11-26T08:37:13.849Z,42.4256,144.8033,53.21,4.3
46,2021-11-28T14:54:40.558Z,35.0721,141.5144,10.0,4.5
47,2021-11-28T20:33:21.425Z,43.1379,146.5898,52.73,4.6
48,2021-11-28T22:13:56.734Z,31.8528,130.7914,10.0,4.5
49,2021-11-28T22:27:32.948Z,31.9107,130.776,10.0,4.3
50,2021-11-29T11:22:33.524Z,33.5176,137.2049,382.74,4.1
51,2021-11-29T12:40:44.400Z,31.196,142.5026,11.0,6.3
52,2021-11-29T12:59:42.943Z,31.0608,142.2653,10.0,4.3
53,2021-11-29T13:50:54.739Z,31.1961,142.3646,10.0,4.7
54,2021-11-29T18:23:18.300Z,41.8821,142.5919,65.74,4.3
55,2021-11-29T18:51:36.041Z,39.7223,141.9624,64.22,4.2
56,2021-11-29T21:43:05.512Z,39.6353,143.2737,34.12,4.3
57,2021-11-29T22:29:49.328Z,31.1392,142.4398,10.0,4.6
58,2021-11-29T23:34:44.262Z,31.2587,142.433,10.0,4.4
59,2021-11-30T00:30:46.701Z,31.1081,142.3905,10.0,4.6
60,2021-11-30T06:34:22.083Z,31.1664,142.4432,5.46,4.5
61,2021-11-30T06:53:34.578Z,31.217,142.4377,20.07,5.5
62,2021-11-30T07:10:44.311Z,31.1231,142.4847,10.0,4.6
63,2021-11-30T07:29:45.397Z,31.1709,142.3912,10.0,4.3
64,2021-11-30T07:43:14.961Z,31.2168,142.4423,10.0,4.4
65,2021-11-30T08:56:41.959Z,31.1699,142.3705,10.0,4.3
66,2021-11-30T11:10:43.013Z,32.2308,141.9171,10.0,4.7
67,2021-11-30T15:41:11.294Z,31.1917,142.2841,10.0,4.7
68,2021-11-30T15:55:36.706Z,35.2018,141.4962,10.0,4.6
69,2021-11-30T16:02:53.945Z,36.1956,140.2265,71.36,4.9
70,2021-11-30T18:27:38.429Z,31.1227,142.3142,10.0,5.0
71,2021-11-30T20:12:13.039Z,31.06,142.1927,10.0,4.2
72,2021-11-30T20:38:47.185Z,31.2238,142.3623,10.0,4.6
73,2021-11-30T20:49:11.402Z,31.1371,142.5167,10.0,4.9
74,2021-11-30T21:11:59.280Z,32.9042,137.4257,372.22,4.1
75,2021-11-30T21:39:37.649Z,31.095,142.3401,10.0,4.4
76,2021-11-30T21:58:14.119Z,31.3205,142.4753,10.0,4.6
77,2021-11-30T22:22:47.215Z,31.1995,142.3954,10.0,4.5
78,2021-11-30T22:34:08.163Z,31.0074,142.475,10.0,4.2
79,2021-11-30T23:30:07.792Z,35.1634,141.5889,10.0,4.6
80,2021-10-01T07:14:30.711Z,42.362,144.5444,71.32,4.1
81,2021-10-02T04:01:37.924Z,38.4927,142.1025,38.68,4.8
82,2021-10-03T01:34:15.395Z,43.8852,148.3135,27.13,4.5
83,2021-10-03T02:10:58.810Z,37.4618,137.1153,10.0,4.4
84,2021-10-03T08:11:18.354Z,32.3267,141.346,36.95,4.6
85,2021-10-03T08:49:38.546Z,34.355,141.6211,10.0,4.6
86,2021-10-04T21:06:32.940Z,38.1597,142.0234,45.5,4.5
87,2021-10-05T09:32:50.905Z,39.2062,144.297,10.0,4.1
88,2021-10-05T09:52:59.685Z,44.4836,147.8149,92.67,4.3
89,2021-10-05T14:22:01.845Z,40.3277,143.9091,10.0,4.4
90,2021-10-05T17:46:02.970Z,40.0529,142.141,55.0,5.7
91,2021-10-05T22:33:41.000Z,40.1318,142.1822,56.89,4.4
92,2021-10-06T02:55:31.465Z,43.1453,146.7116,70.51,4.5
93,2021-10-06T08:12:53.588Z,31.1971,131.4859,24.46,5.4
94,2021-10-07T13:41:24.528Z,35.5736,140.0705,62.0,5.9
95,2021-10-07T14:24:43.451Z,41.1879,142.3431,61.77,4.5
96,2021-10-07T16:44:21.427Z,31.7273,138.0549,370.49,4.0
97,2021-10-07T20:11:50.299Z,35.5528,140.1119,69.52,4.4
98,2021-10-09T02:16:16.883Z,35.4836,140.4188,57.1,4.3
99,2021-10-09T02:47:34.432Z,42.3709,141.9719,93.91,4.6
100,2021-10-09T05:31:59.595Z,40.0765,142.2057,52.66,5.0
101,2021-10-10T14:16:15.940Z,42.3455,143.0753,61.69,4.9
102,2021-10-12T03:19:00.597Z,30.1428,142.8307,10.0,4.9
103,2021-10-12T11:30:36.759Z,39.564,142.5149,35.0,4.1
104,2021-10-13T04:58:34.798Z,30.6616,138.6772,384.06,4.1
105,2021-10-13T11:22:49.020Z,44.1617,146.4826,119.93,4.3
106,2021-10-13T17:00:49.084Z,32.4545,133.1539,12.63,4.6
107,2021-10-16T15:30:53.689Z,32.6091,140.8246,81.66,4.5
108,2021-10-17T15:49:31.360Z,40.9682,142.1452,67.87,4.8
109,2021-10-18T02:01:23.240Z,38.2759,141.5402,71.21,4.6
110,2021-10-19T07:00:35.421Z,44.8445,148.8281,76.78,4.3
111,2021-10-19T12:36:37.809Z,41.5122,142.8248,38.37,5.3
112,2021-10-19T12:44:47.900Z,41.4511,142.9168,41.17,4.3
113,2021-10-19T15:18:17.640Z,41.6104,142.7983,35.0,4.5
114,2021-10-19T22:10:47.878Z,41.5049,143.0525,36.35,4.5
115,2021-10-21T07:44:20.996Z,38.9848,141.9429,64.47,4.2
116,2021-10-21T08:36:47.973Z,32.1131,138.1614,335.78,5.5
117,2021-10-24T01:07:49.293Z,44.9457,148.8728,104.92,4.3
118,2021-10-24T06:45:37.595Z,31.5285,140.2493,34.68,4.6
119,2021-10-26T16:27:55.146Z,37.2597,142.2418,22.51,4.9
120,2021-10-26T16:40:11.784Z,37.1967,142.4328,31.88,4.5
121,2021-10-26T18:27:09.805Z,37.2001,141.5087,51.93,4.3
122,2021-10-27T20:53:56.077Z,39.9387,141.6147,72.38,4.2
123,2021-10-28T00:55:29.417Z,36.0429,139.8833,50.3,4.4
124,2021-10-28T14:47:54.451Z,37.7506,141.7884,60.52,4.3
125,2021-10-28T23:59:21.957Z,35.6091,140.1727,45.94,4.4
126,2021-10-30T08:47:20.669Z,44.0247,148.1131,51.31,4.5
127,2021-10-31T05:03:46.488Z,35.9925,137.2816,238.51,4.1
128,2021-10-31T14:02:49.390Z,35.3576,139.5496,81.22,4.5
129,2021-10-31T20:35:40.116Z,33.2919,135.6276,10.0,4.7
130,2021-10-31T21:14:47.630Z,36.5337,140.5277,55.3,5.2
131,2021-10-31T23:27:25.244Z,40.6211,141.7102,90.56,4.2
132,2021-09-01T08:16:41.821Z,37.6853,141.8461,55.59,4.3
133,2021-09-01T19:17:07.386Z,37.7211,141.6871,65.05,4.6
134,2021-09-01T23:46:06.747Z,41.4409,142.158,57.88,4.2
135,2021-09-02T19:03:48.545Z,39.489,144.7136,10.0,4.4
136,2021-09-05T05:48:59.275Z,41.2635,142.5583,48.51,4.6
137,2021-09-06T01:22:11.860Z,38.0576,144.7289,10.0,4.4
138,2021-09-06T14:50:02.419Z,42.697,145.0948,49.73,4.7
139,2021-09-06T20:59:21.975Z,31.1673,131.4674,45.94,4.6
140,2021-09-07T13:25:10.499Z,35.3614,141.3875,35.0,4.5
141,2021-09-07T18:41:23.076Z,39.1866,141.8615,74.52,4.5
142,2021-09-08T02:31:57.426Z,30.6161,141.912,14.12,4.6
143,2021-09-08T15:49:48.549Z,33.4062,141.1856,32.02,4.6
144,2021-09-08T22:16:55.893Z,37.1179,141.5455,7.34,4.2
145,2021-09-09T20:49:26.204Z,42.7934,143.4135,101.08,4.2
146,2021-09-10T02:10:24.732Z,31.0311,139.6106,151.6,4.3
147,2021-09-10T13:42:47.504Z,40.9779,142.5441,55.74,4.2
148,2021-09-11T02:12:02.449Z,41.1445,143.1013,38.37,4.2
149,2021-09-11T11:00:10.606Z,38.7574,144.2236,10.0,4.4
150,2021-09-12T02:17:04.596Z,33.0546,132.0425,49.05,4.5
151,2021-09-12T16:36:10.229Z,37.8372,141.9857,42.47,4.4
152,2021-09-12T21:31:08.050Z,34.8195,139.9499,57.26,4.2
153,2021-09-13T04:59:47.301Z,39.3386,142.5974,49.34,4.9
154,2021-09-13T22:46:06.357Z,32.4784,137.8572,370.0,5.8
155,2021-09-15T02:09:43.385Z,35.0744,140.7817,81.76,4.4
156,2021-09-15T13:47:33.527Z,30.4392,140.19,10.0,4.7
157,2021-09-16T04:08:29.148Z,38.5782,142.355,35.0,4.6
158,2021-09-16T06:56:49.633Z,44.4746,148.9368,45.16,4.2
159,2021-09-16T09:42:29.509Z,37.4707,137.2472,10.0,4.9
160,2021-09-17T03:16:11.342Z,37.7637,141.6016,47.97,4.5
161,2021-09-17T20:21:07.813Z,38.1671,141.7744,45.53,4.4
162,2021-09-18T20:42:37.583Z,34.2715,141.1012,10.0,4.6
163,2021-09-18T23:07:51.007Z,36.4505,140.493,72.26,4.4
164,2021-09-19T08:18:32.645Z,36.2633,137.7364,10.0,5.1
165,2021-09-19T10:04:17.724Z,36.276,137.6419,6.46,4.2
166,2021-09-19T16:11:51.710Z,37.5858,142.1042,35.0,4.4
167,2021-09-20T05:53:18.331Z,45.0938,147.51,155.81,4.3
168,2021-09-21T02:12:49.848Z,44.4443,147.9099,111.93,4.4
169,2021-09-21T19:33:52.811Z,43.5585,146.1673,74.66,4.5
170,2021-09-24T04:44:15.824Z,38.1509,141.8037,62.51,4.5
171,2021-09-24T09:36:31.860Z,33.9816,141.9384,10.0,4.4
172,2021-09-24T09:48:11.035Z,37.3358,138.2813,10.0,4.5
173,2021-09-25T21:46:37.948Z,30.6821,131.2671,38.37,4.5
174,2021-09-27T10:58:49.791Z,38.5989,142.0474,59.21,4.6
175,2021-09-27T11:26:38.310Z,36.7055,141.1649,50.4,4.6
176,2021-09-27T15:30:39.142Z,38.1263,141.9171,57.48,4.3
177,2021-09-29T03:26:42.682Z,36.4576,140.6943,57.6,4.5
178,2021-09-29T08:37:05.619Z,38.8893,135.4527,364.0,6.1
179,2021-09-30T03:52:24.728Z,41.0094,142.1415,53.04,4.4
180,2021-09-30T07:43:35.827Z,31.8713,141.3069,29.42,4.2
181,2021-09-30T08:45:31.183Z,38.5137,141.9969,67.62,4.6
182,2021-08-01T13:50:29.962Z,34.4672,139.758,123.4,4.3
