time,latitude,longitude,depth,mag
2021-12-01,35.228,141.4204,10.0,4.7
2021-12-01,35.2774,141.5336,10.0,4.7
2021-12-01,33.769,137.1036,362.75,4.0
2021-12-01,35.2014,141.4165,10.0,4.5
2021-12-01,35.143,141.3281,10.0,4.9
2021-12-01,35.2252,141.6904,13.11,4.4
2021-12-01,31.1761,142.4445,10.0,4.9
2021-12-01,35.1631,141.4062,10.0,4.4
2021-12-01,31.2061,142.4082,10.0,4.8
2021-12-01,35.2169,141.4451,10.0,4.8
2021-12-01,31.0387,142.476,10.0,4.5
2021-12-01,31.1263,142.2014,10.0,4.3
2021-12-01,40.313,140.8814,10.0,4.1
2021-12-01,36.1875,140.0911,51.68,5.0
2021-12-01,30.6194,142.3853,10.0,4.6
2021-12-01,39.2602,143.0663,35.0,4.2
2021-12-01,35.217,141.352,10.0,4.3
2021-12-01,31.1314,142.3757,10.0,4.2
2021-12-02,31.2902,142.262,10.0,4.1
2021-12-02,31.1725,142.3944,10.0,4.2
2021-12-02,37.7216,141.7845,57.22,4.8
2021-12-02,35.2243,141.4146,10.0,4.5
2021-12-02,35.1712,141.2639,10.0,4.6
2021-12-02,35.546,139.034,26.64,4.5
2021-12-02,45.8325,142.5511,314.4,4.6
2021-12-02,35.557,139.0179,26.74,4.4
2021-12-03,33.8337,135.0775,12.08,5.2
2021-12-03,31.1686,142.2979,10.0,4.4
2021-12-03,31.2267,142.281,10.0,4.5
2021-12-03,41.0947,140.1157,158.46,4.4
2021-12-03,31.1225,142.3087,10.0,4.4
2021-12-04,31.1111,142.4267,10.0,4.6
2021-12-05,34.9597,141.4318,10.0,4.4
2021-12-05,41.5733,142.8643,50.0,4.6
2021-12-05,31.1592,142.2349,10.0,4.0
2021-12-05,31.2933,142.4753,10.0,4.3
2021-12-05,31.0492,142.7716,10.0,4.3
2021-12-06,37.6545,141.3378,68.71,4.5
2021-12-06,31.3555,142.3757,10.0,4.4
2021-12-06,31.2197,142.375,10.0,4.6
2021-12-06,41.4212,142.0596,57.43,4.9
2021-12-07,36.1355,141.9289,35.0,4.6
2021-12-07,30.5495,138.7051,406.33,4.5
2021-12-07,37.1897,141.2939,10.0,4.9
2021-12-07,41.6372,141.8613,56.56,4.3
2021-12-08,37.7511,141.6418,54.16,5.1
2021-12-09,31.1395,142.464,10.0,4.5
2021-12-09,31.12,142.53,10.0,4.7
2021-12-10,31.1796,142.3677,10.0,4.4
2021-12-11,38.3621,141.7703,63.79,4.1
2021-12-11,43.3146,146.3976,50.52,4.8
2021-12-11,31.2224,142.1485,10.0,4.6
2021-12-11,31.2652,142.3826,10.0,4.4
2021-12-12,31.1364,142.1859,10.0,4.4
2021-12-12,44.4726,140.9111,256.15,4.7
2021-12-12,36.1384,139.7873,55.92,4.9
2021-12-12,44.655,148.2848,72.04,4.7
2021-12-12,34.4766,140.3017,61.17,4.4
2021-12-12,31.1117,142.2796,10.0,4.7
2021-12-12,31.1659,142.3215,10.0,4.6
2021-12-12,31.1334,142.229,10.0,4.5
2021-12-12,31.1317,142.2302,10.0,4.5
2021-12-12,35.8265,144.2751,10.0,4.6
