,Flag Tsunami,Year,Focal Depth,EQ Primary,Intensity,Country,Region code,Coordinates,Earthquake : Damage Description
1,1,344,,,9.0,TURKEY,140.0,"40.3,26.5",SEVERE (~>$5 to $24 million)
2,1,346,,6.8,9.0,ALBANIA,130.0,"41.4,19.4",MODERATE (~$1 to $5 million)
11,0,1427,,,11.0,SPAIN,130.0,"41.7,2.2",SEVERE (~>$5 to $24 million)
13,0,1504,,,8.0,SWITZERLAND,120.0,"46.8,10.2",SEVERE (~>$5 to $24 million)
17,1,1584,30.0,8.4,7.0,PERU,160.0,"-11.8,-77.8",LIMITED (roughly corresponding to less than $1 million)
18,0,1605,,7.5,10.0,CHINA,30.0,"19.9,110.5",EXTREME (~$25 million or more)
22,1,1678,40.0,8.4,9.0,PERU,160.0,"-9.0,-79.0",SEVERE (~>$5 to $24 million)
23,0,1679,,5.0,7.0,CHINA,30.0,"31.4,119.5",LIMITED (roughly corresponding to less than $1 million)
25,0,1714,,,6.0,GREECE,130.0,"38.25,21.73",LIMITED (roughly corresponding to less than $1 million)
28,0,1725,,5.5,7.0,CHINA,30.0,"30.1,101.9",MODERATE (~$1 to $5 million)
36,0,1774,,,9.0,MEXICO,150.0,"22.04,-103.73",MODERATE (~$1 to $5 million)
38,0,1796,,7.7,11.0,CHILE,160.0,"-27.35,-70.35",MODERATE (~$1 to $5 million)
40,0,1818,,,10.0,ITALY,130.0,"37.8,14.0",SEVERE (~>$5 to $24 million)
41,1,1828,,,8.0,PHILIPPINES,170.0,"14.55,120.9",LIMITED (roughly corresponding to less than $1 million)
43,0,1829,,6.0,8.0,CHINA,30.0,"36.6,118.5",MODERATE (~$1 to $5 million)
44,0,1831,,,9.0,ITALY,130.0,"43.8,7.8",SEVERE (~>$5 to $24 million)
46,1,1833,,7.7,8.0,PERU,160.0,"-18.251,-71.01",SEVERE (~>$5 to $24 million)
47,0,1839,33.0,7.8,9.0,MARTINIQUE,90.0,"14.4,-61.1",SEVERE (~>$5 to $24 million)
52,0,1871,,,9.0,PHILIPPINES,170.0,"7.4,124.2",SEVERE (~>$5 to $24 million)
53,0,1872,15.0,6.3,7.0,IRAN,140.0,"37.3,58.3",SEVERE (~>$5 to $24 million)
57,1,1878,,6.7,9.0,TURKEY,140.0,"40.8,29.0",MODERATE (~$1 to $5 million)
60,0,1881,,6.1,,TURKEY,140.0,"40.6,33.6",LIMITED (roughly corresponding to less than $1 million)
61,0,1884,,6.2,,ERITREA,15.0,"15.7,39.6",MODERATE (~$1 to $5 million)
63,0,1887,20.0,7.3,10.0,KAZAKHSTAN,40.0,"43.1,76.8",MODERATE (~$1 to $5 million)
64,0,1888,,,5.0,URUGUAY,160.0,"-34.5,-57.9",LIMITED (roughly corresponding to less than $1 million)
65,0,1888,,,8.0,COSTA RICA,90.0,"9.95,-84.1",SEVERE (~>$5 to $24 million)
67,1,1897,33.0,8.1,9.0,PHILIPPINES,170.0,"12.0,126.0",MODERATE (~$1 to $5 million)
68,1,1898,,6.5,8.0,USA,150.0,"38.2,-122.4",MODERATE (~$1 to $5 million)
69,0,1898,,,10.0,USA,150.0,"39.0,-124.0",LIMITED (roughly corresponding to less than $1 million)
71,0,1903,60.0,7.8,8.0,PHILIPPINES,170.0,"7.0,126.0",MODERATE (~$1 to $5 million)
72,0,1904,,6.0,,TAIWAN,30.0,"23.5,120.5",MODERATE (~$1 to $5 million)
73,0,1906,,5.3,7.0,CHINA,30.0,"24.6,98.6",MODERATE (~$1 to $5 million)
74,1,1906,33.0,8.0,,PAPUA NEW GUINEA,170.0,"-7.0,149.0",SEVERE (~>$5 to $24 million)
77,0,1912,25.0,8.0,9.0,MYANMAR (BURMA),60.0,"21.0,97.0",SEVERE (~>$5 to $24 million)
79,1,1913,30.0,7.0,9.0,PERU,160.0,"-16.6,-73.3",LIMITED (roughly corresponding to less than $1 million)
80,1,1914,35.0,7.6,,INDONESIA,60.0,"-3.924,101.82",LIMITED (roughly corresponding to less than $1 million)
81,0,1915,,,8.0,PHILIPPINES,170.0,"11.3,122.3",MODERATE (~$1 to $5 million)
82,0,1915,,6.2,,USA,150.0,"32.8,-115.5",LIMITED (roughly corresponding to less than $1 million)
83,1,1915,,6.4,8.0,PHILIPPINES,170.0,"18.0,119.5",LIMITED (roughly corresponding to less than $1 million)
85,1,1916,25.0,7.0,9.0,PANAMA,90.0,"9.6,-82.0",LIMITED (roughly corresponding to less than $1 million)
88,0,1919,,5.9,,EL SALVADOR,100.0,"13.69,-89.19",SEVERE (~>$5 to $24 million)
89,0,1920,11.0,6.2,,GEORGIA,40.0,"42.0,44.1",SEVERE (~>$5 to $24 million)
91,0,1921,,5.2,8.0,USA,150.0,"38.7,-112.1",MODERATE (~$1 to $5 million)
94,1,1924,33.0,8.3,9.0,PHILIPPINES,170.0,"6.5,126.5",SEVERE (~>$5 to $24 million)
95,0,1924,33.0,7.3,,CHINA,40.0,"36.8,83.8",MODERATE (~$1 to $5 million)
100,0,1930,,6.5,8.0,CHINA,30.0,"25.8,98.4",MODERATE (~$1 to $5 million)
104,0,1935,,5.8,,TAIWAN,30.0,"24.2,120.5",LIMITED (roughly corresponding to less than $1 million)
105,0,1935,30.0,6.5,,TAIWAN,30.0,"24.6,120.8",EXTREME (~$25 million or more)
109,0,1944,50.0,7.8,,ARGENTINA,160.0,"-31.5,-68.5",EXTREME (~$25 million or more)
110,0,1944,12.0,5.6,8.0,USA,150.0,"44.957,-74.723",MODERATE (~$1 to $5 million)
111,0,1945,,,7.0,TURKEY,140.0,"38.5,43.3",MODERATE (~$1 to $5 million)
113,0,1949,,7.3,9.0,CHINA,40.0,"42.0,84.0",SEVERE (~>$5 to $24 million)
115,1,1958,35.0,7.8,11.0,USA,150.0,"58.37,-136.665",LIMITED (roughly corresponding to less than $1 million)
118,0,1959,,6.9,,MEXICO,150.0,"18.3,-94.4",SEVERE (~>$5 to $24 million)
119,1,1960,33.0,5.9,10.0,MOROCCO,15.0,"30.45,-9.62",EXTREME (~$25 million or more)
120,0,1960,,,8.0,INDONESIA,170.0,"-0.5,121.5",MODERATE (~$1 to $5 million)
121,0,1962,45.0,7.3,,CHILE,160.0,"-37.8,-72.5",MODERATE (~$1 to $5 million)
122,0,1963,13.0,4.9,7.0,SLOVENIA,130.0,"46.1,14.8",MODERATE (~$1 to $5 million)
123,1,1964,130.0,7.0,7.0,INDONESIA,60.0,"5.9,95.7",SEVERE (~>$5 to $24 million)
124,0,1965,36.0,6.0,,JAPAN,30.0,"34.9,138.0",LIMITED (roughly corresponding to less than $1 million)
125,0,1966,,5.3,,CHINA,30.0,"37.25,114.78",LIMITED (roughly corresponding to less than $1 million)
126,0,1967,13.0,5.0,,ALGERIA,15.0,"35.5,-0.1",LIMITED (roughly corresponding to less than $1 million)
127,0,1967,161.0,6.8,,COLOMBIA,160.0,"6.8,-73.0",SEVERE (~>$5 to $24 million)
128,1,1967,33.0,7.5,,CHILE,160.0,"-21.7,-69.5",MODERATE (~$1 to $5 million)
129,0,1968,34.0,5.3,7.0,IRAN,140.0,"39.2,44.3",MODERATE (~$1 to $5 million)
130,1,1970,34.0,7.0,,JAPAN,30.0,"32.2,131.7",LIMITED (roughly corresponding to less than $1 million)
132,1,1972,33.0,7.5,6.0,TAIWAN,30.0,"22.5,122.3",LIMITED (roughly corresponding to less than $1 million)
133,0,1972,31.0,5.3,,IRAN,140.0,"30.1,50.8",MODERATE (~$1 to $5 million)
134,1,1972,66.0,7.4,10.0,JAPAN,30.0,"33.3,140.7",LIMITED (roughly corresponding to less than $1 million)
135,0,1973,31.0,5.9,,ETHIOPIA,10.0,"11.66,43.03",MODERATE (~$1 to $5 million)
137,0,1976,9.0,6.7,,ECUADOR,160.0,"0.78,-79.8",MODERATE (~$1 to $5 million)
138,0,1976,9.0,6.5,10.0,ITALY,130.0,"46.356,13.275",EXTREME (~$25 million or more)
139,0,1976,45.0,6.4,,MEXICO,150.0,"17.4,-100.64",MODERATE (~$1 to $5 million)
